Ladder score,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,area,population (thousands),avg precipitation,disFromEquator,unemployed_rate,AvgTemp,standard_of_living_num,independence_year
7.842,10.775,0.954,72.0,0.949,-0.098,0.186,338424.0,5520314.0,536.0,6682.183616,7.829999924,1.7,0.938,1917.0
7.571,11.117,0.942,74.4,0.919,0.025,0.292,41284.0,8574832.0,1537.0,5213.328266,4.940000057,5.5,0.955,1291.0
7.554,10.878,0.983,73.0,0.955,0.16,0.673,103000.0,361313.0,1940.0,7123.242203,5.010000229,1.75,0.949,1918.0
7.464,10.932,0.942,72.4,0.913,0.175,0.338,41850.0,17332850.0,778.0,5783.209851,4.090000153,9.25,0.944,1581.0
7.392,11.053,0.954,73.3,0.96,0.093,0.27,323802.0,5347896.0,1414.0,6652.812283,4.619999886,1.5,0.957,1905.0
7.324,11.647,0.908,72.6,0.907,-0.034,0.386,2586.0,619896.0,934.0,5508.99598,6.960000038,8.65,0.916,1815.0
7.277,10.643,0.948,73.4,0.929,0.134,0.242,270467.0,4917000.0,1732.0,-4091.998522,4.550000191,10.55,0.931,1907.0
7.268,10.906,0.934,73.3,0.908,0.042,0.481,83871.0,8877067.0,1110.0,5353.277947,5.769999981,6.35,0.922,1955.0
7.183,10.796,0.94,73.9,0.914,0.159,0.442,7692024.0,25364307.0,534.0,-3760.529985,6.610000134,21.65,0.944,1901.0
7.157,10.575,0.939,73.503,0.8,0.031,0.753,20770.0,9053300.0,435.0,3529.368158,4.610000134,19.2,0.919,1948.0
7.155,10.873,0.903,72.5,0.875,0.011,0.46,357114.0,83132799.0,700.0,5831.703087,4.309999943,8.5,0.947,1871.0
7.085,11.342,0.947,72.4,0.879,0.077,0.363,70273.0,4941444.0,1118.0,5923.40383,5.920000076,9.3,0.955,1921.0
7.069,9.88,0.891,71.4,0.934,-0.126,0.809,51100.0,5047561.0,2926.0,1103.040676,17.07999992,24.8,0.81,1821.0
7.064,10.707,0.934,72.5,0.859,0.233,0.459,242900.0,66834405.0,1220.0,5719.603426,4.340000153,8.45,0.932,1801.0
6.951,11.023,0.92,68.2,0.837,0.098,0.698,9372610.0,328239523.0,715.0,3749.170108,8.31000042,8.55,0.926,1776.0
6.834,10.823,0.906,72.199,0.783,-0.153,0.646,30528.0,11484055.0,847.0,5646.258378,6.010000229,9.55,0.931,1830.0
6.69,10.704,0.942,74.0,0.822,-0.147,0.571,551695.0,67059887.0,867.0,5425.268249,8.619999886,10.7,0.901,1958.0
6.647,10.669,0.862,69.495,0.925,0.089,0.722,765.0,1641172.0,83.0,2911.22653,4.090000153,27.15,0.852,1783.0
6.602,10.674,0.931,72.2,0.927,0.133,0.653,316.0,502653.0,560.0,3986.261724,4.090000153,19.2,0.895,1964.0
6.561,11.085,0.844,67.333,0.932,0.074,0.589,83600.0,9770529.0,78.0,2806.067165,5.0,27.0,0.89,1971.0
6.494,10.743,0.891,66.603,0.877,-0.149,0.684,2149690.0,34268528.0,59.0,2737.252742,8.220000267,24.65,0.854,1932.0
6.491,10.571,0.932,74.7,0.761,-0.081,0.745,505992.0,47076781.0,636.0,4595.308788,15.67000008,13.3,0.904,1492.0
6.483,10.623,0.88,73.8,0.693,-0.084,0.866,301336.0,60297396.0,832.0,4652.00823,9.31000042,13.45,0.892,1861.0
6.461,10.529,0.948,71.4,0.949,-0.101,0.806,20273.0,2087946.0,1162.0,5113.610093,5.170000076,8.9,0.917,1991.0
6.435,9.053,0.813,64.958,0.906,-0.038,0.775,108889.0,16604026.0,1996.0,1622.352488,4.650000095,23.45,0.663,1821.0
6.431,9.966,0.925,69.1,0.896,-0.092,0.59,181034.0,3461734.0,1300.0,-3871.763497,12.67000008,17.55,0.817,1825.0
6.377,11.488,0.915,76.953,0.927,-0.018,0.082,710.0,5703569.0,2497.0,144.3581568,5.190000057,26.45,0.938,1965.0
6.33,9.577,0.882,66.601,0.804,-0.071,0.756,8515767.0,211049527.0,1761.0,-2615.147951,13.67000008,24.95,0.765,1822.0
6.317,9.859,0.831,68.597,0.862,-0.147,0.799,1964375.0,127575529.0,758.0,2157.965668,4.710000038,21.0,0.779,1810.0
6.309,9.186,0.877,67.5,0.89,-0.137,0.884,10991.0,2948279.0,2051.0,1995.629369,8.399999619,24.95,0.734,1962.0
6.255,10.499,0.935,67.906,0.773,-0.203,0.826,65300.0,2786844.0,656.0,6072.292612,8.430000305,6.2,0.882,1918.0
6.223,10.576,0.802,73.898,0.763,-0.015,0.844,9251.0,1198575.0,498.0,3905.720977,7.210000038,18.45,0.887,1960.0
6.189,10.481,0.941,68.8,0.909,-0.106,0.527,45227.0,1326590.0,626.0,6600.188183,6.460000038,5.1,0.892,1918.0
6.18,10.35,0.896,69.652,0.872,-0.166,0.856,75417.0,4246439.0,2928.0,999.402624,10.22999954,25.4,0.815,1903.0
6.179,8.836,0.918,65.255,0.97,0.311,0.515,447400.0,33580650.0,206.0,4586.147597,5.96999979,12.05,0.72,1991.0
6.172,10.071,0.882,70.0,0.742,-0.044,0.83,756102.0,18952038.0,1522.0,-3714.446419,11.51000023,8.45,0.851,1810.0
6.166,10.382,0.898,69.702,0.841,-0.165,0.735,312679.0,37970874.0,600.0,5798.389666,3.549999952,7.85,0.88,1918.0
6.152,10.155,0.952,65.2,0.853,-0.069,0.733,2724900.0,18513930.0,250.0,5678.083799,6.050000191,6.4,0.825,1991.0
6.14,10.284,0.832,67.355,0.845,-0.219,0.938,238391.0,19356544.0,637.0,4930.386278,4.840000153,8.8,0.828,1859.0
